sbi,sbi_title
T001081,A-U Alle economische activiteiten
301000 ,"A Landbouw, bosbouw en visserij"
305700 ,B Delfstoffenwinning
300003 ,B-F Nijverheid en energie
307500 ,C Industrie
307610 ,"10-12 Voedings-, genotmiddelenindustrie"
317105 ,17-18 Papier- en grafische industrie
320005 ,19-22 Raffinaderijen en chemie
328110 ,"24-30, 33 Metaal-elektro industrie"
346600 ,D Energievoorziening
348000 ,E Waterbedrijven en afvalbeheer
350000 ,F Bouwnijverheid
300007 ,G-N Commerciële dienstverlening
354200 ,G Handel
354300 ,45 Autohandel en -reparatie
356900 ,46 Groothandel en handelsbemiddeling
371600 ,47 Detailhandel (niet in auto's)
383100 ,H Vervoer en opslag
383200 ,49 Vervoer over land
389100 ,I Horeca
391600 ,J Informatie en communicatie
396300 ,K Financiële dienstverlening
402000 ,L Verhuur en handel van onroerend goed
403300 ,M Specialistische zakelijke diensten
410200 ,N Verhuur en overige zakelijke diensten
415300 ,812 Schoonmaakbedrijven
300013 ,O-U Niet-commerciële dienstverlening
417400 ,O Openbaar bestuur en overheidsdiensten
419000 ,P Onderwijs
422400 ,Q Gezondheids- en welzijnszorg
422500 ,86 Gezondheidszorg
422600 ,861 Ziekenhuizen
425300 ,87 Verpleging en zorg met overnachting
426600 ,88 Welzijnszorg zonder overnachting
428100 ,"R Cultuur, sport en recreatie"
435500 ,S Overige dienstverlening
WP19078,1 tot 10 werkzame personen
WP19091,10 tot 100 werkzame personen
WP19098,100 of meer werkzame personen
